ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20090101090640,2009,24,female,black,15000,FALSE,Bachelors,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,1
20090101090643,2009,28,female,black,35000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan,TRUE,2
20090101090644,2009,48,male,white,5000,FALSE,HS,FALSE,0,0,West,"NA",FALSE,metropolitan,TRUE,3
20090101090755,2009,54,female,white,75000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan,TRUE,4
20090101090793,2009,54,female,white,50000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,5
20090101090798,2009,66,female,white,40000,TRUE,HS,FALSE,0,0,Northeast,not employed,FALSE,metropolitan,TRUE,6
20090101090845,2009,35,female,white,40000,TRUE,Some college,TRUE,4,0,Midwest,employed,FALSE,non-metropolitan,TRUE,7
20090101090878,2009,66,female,white,30000,TRUE,Bachelors,FALSE,0,0,Northeast,employed,FALSE,non-metropolitan,TRUE,8
20090101090944,2009,72,female,white,35000,TRUE,HS,FALSE,0,0,Northeast,not employed,FALSE,non-metropolitan,TRUE,9
20090101090991,2009,39,female,white,100000,TRUE,Bachelors,TRUE,2,2,Midwest,employed,FALSE,metropolitan,TRUE,10
20090101091015,2009,37,female,white,0,FALSE,HS,TRUE,1,6,Midwest,not employed,FALSE,non-metropolitan,TRUE,11
20090101091025,2009,79,male,white,60000,FALSE,Bachelors,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,12
20090101091029,2009,52,female,white,75000,TRUE,Doctoral,TRUE,1,15,Northeast,not employed,FALSE,metropolitan,TRUE,13
20090101091034,2009,16,female,asian,40000,TRUE,Did not graduate from HS,TRUE,1,16,Northeast,"NA",TRUE,metropolitan,TRUE,14
20090101091059,2009,45,female,white,60000,TRUE,HS,TRUE,2,11,Midwest,employed,FALSE,metropolitan,TRUE,15
20090101091085,2009,45,female,white,12500,TRUE,Bachelors,TRUE,2,3,West,"NA",FALSE,metropolitan,TRUE,16
20090101091112,2009,32,female,asian,60000,TRUE,Bachelors,TRUE,2,2,South,employed,FALSE,metropolitan,TRUE,17
20090101091134,2009,66,male,white,100000,TRUE,Some college,FALSE,0,0,South,not employed,FALSE,metropolitan,TRUE,18
20090101091153,2009,79,female,white,15000,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,19
20090101091184,2009,72,male,white,15000,TRUE,Did not graduate from HS,FALSE,0,0,South,not employed,FALSE,non-metropolitan,TRUE,20
20090101091218,2009,75,female,white,10000,FALSE,Did not graduate from HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,21
20090101091238,2009,64,female,white,40000,TRUE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,22
20090101091279,2009,57,female,white,150000,TRUE,Some college,FALSE,0,0,West,not employed,FALSE,non-metropolitan,TRUE,23
20090101091329,2009,38,female,white,60000,TRUE,Some college,TRUE,1,10,West,employed,FALSE,metropolitan,TRUE,24
20090101091334,2009,59,female,white,40000,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,non-metropolitan,TRUE,25
20090101091422,2009,61,female,white,60000,TRUE,Masters,FALSE,0,0,South,employed,FALSE,non-metropolitan,TRUE,26
20090101091448,2009,63,female,white,30000,TRUE,HS,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,27
20090101091462,2009,73,male,white,50000,FALSE,Some college,FALSE,0,0,Midwest,"NA",FALSE,non-metropolitan,TRUE,28
20090101091497,2009,31,male,white,100000,TRUE,Bachelors,TRUE,2,3,Midwest,employed,FALSE,non-metropolitan,TRUE,29
20090101091517,2009,47,female,white,30000,TRUE,HS,FALSE,0,0,South,employed,FALSE,non-metropolitan,TRUE,30
20090101091542,2009,80,male,white,50000,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,non-metropolitan,TRUE,31
20090101091573,2009,72,female,white,25000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,32
20090101091601,2009,80,female,black,25000,FALSE,HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,33
20090101091686,2009,36,female,white,40000,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,34
20090101091747,2009,26,male,white,30000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan,TRUE,35
20090101091951,2009,70,male,white,150000,TRUE,Doctoral,TRUE,1,15,South,employed,FALSE,metropolitan,TRUE,36
20090101092027,2009,69,female,white,30000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan,TRUE,37
20090101092057,2009,36,female,white,0,FALSE,Did not graduate from HS,TRUE,3,7,West,"NA",FALSE,metropolitan,TRUE,38
20090101092071,2009,29,female,white,10000,FALSE,Some college,TRUE,1,7,South,"NA",FALSE,non-metropolitan,TRUE,39
20090101092083,2009,34,female,white,0,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,40
20090101092098,2009,52,female,black,10000,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",FALSE,non-metropolitan,TRUE,41
20090101092161,2009,80,female,black,10000,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,TRUE,42
20090101092179,2009,68,male,white,15000,TRUE,Did not graduate from HS,FALSE,0,0,West,not employed,FALSE,metropolitan,TRUE,43
20090101092214,2009,80,female,white,60000,TRUE,Did not graduate from HS,FALSE,0,0,West,not employed,FALSE,metropolitan,TRUE,44
20090101092276,2009,78,male,white,40000,TRUE,Bachelors,FALSE,0,0,South,not employed,FALSE,metropolitan,TRUE,45
20090101092287,2009,62,male,white,35000,TRUE,Masters,TRUE,1,4,South,not employed,FALSE,metropolitan,TRUE,46
20090101092343,2009,78,male,other,50000,FALSE,HS,FALSE,0,0,West,"NA",FALSE,metropolitan,TRUE,47
20090101092397,2009,43,male,white,50000,FALSE,Bachelors,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,TRUE,48
20090101092422,2009,39,male,white,15000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,49
20090110080503,2009,43,female,asian,100000,TRUE,Masters,TRUE,2,2,West,employed,FALSE,metropolitan,TRUE,50
20090110081010,2009,55,male,white,60000,TRUE,HS,TRUE,1,17,West,employed,FALSE,metropolitan,TRUE,51
20090110082505,2009,16,male,black,50000,FALSE,Did not graduate from HS,TRUE,2,10,Midwest,"NA",TRUE,metropolitan,TRUE,52
20090111080005,2009,43,female,black,25000,FALSE,HS,TRUE,3,0,Midwest,"NA",FALSE,metropolitan,TRUE,53
20090111080529,2009,22,female,white,75000,TRUE,Some college,FALSE,0,0,Midwest,"NA",TRUE,metropolitan,TRUE,54
20090111080534,2009,34,female,white,150000,TRUE,Bachelors,TRUE,2,2,Northeast,employed,FALSE,metropolitan,TRUE,55
20090111080610,2009,38,male,white,60000,TRUE,HS,TRUE,3,8,Midwest,employed,FALSE,metropolitan,TRUE,56
20090111080616,2009,36,male,white,40000,FALSE,Masters,FALSE,0,0,West,"NA",FALSE,metropolitan,TRUE,57
20090111080623,2009,17,male,white,75000,TRUE,Did not graduate from HS,TRUE,1,17,West,"NA",TRUE,metropolitan,TRUE,58
20090111080653,2009,58,female,black,12500,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,59
20090111080670,2009,43,male,white,100000,TRUE,Bachelors,TRUE,1,12,West,employed,FALSE,metropolitan,TRUE,60
20090111080725,2009,80,male,white,25000,FALSE,Did not graduate from HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,61
20090111080787,2009,19,male,white,50000,TRUE,Did not graduate from HS,TRUE,1,15,West,"NA",TRUE,metropolitan,TRUE,62
20090111080791,2009,69,male,other,60000,TRUE,HS,TRUE,2,4,Midwest,employed,FALSE,metropolitan,TRUE,63
20090111080803,2009,35,male,white,100000,TRUE,Bachelors,TRUE,3,2,South,employed,FALSE,metropolitan,TRUE,64
20090111080814,2009,29,female,white,40000,FALSE,Bachelors,TRUE,1,8,South,employed,FALSE,metropolitan,TRUE,65
20090111080843,2009,38,female,white,50000,TRUE,HS,FALSE,0,0,Midwest,employed,FALSE,metropolitan,TRUE,66
20090111080863,2009,21,female,black,10000,FALSE,HS,FALSE,0,0,South,"NA",TRUE,non-metropolitan,TRUE,67
20090111080901,2009,56,female,white,150000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,metropolitan,TRUE,68
20090111080903,2009,44,male,black,75000,FALSE,Some college,TRUE,1,11,Northeast,employed,TRUE,metropolitan,TRUE,69
20090111080908,2009,46,male,white,35000,TRUE,HS,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,70
20090111080981,2009,20,male,white,20000,FALSE,HS,TRUE,2,12,South,"NA",TRUE,metropolitan,TRUE,71
20090111080999,2009,60,male,white,100000,TRUE,Some college,FALSE,0,0,West,employed,FALSE,metropolitan,TRUE,72
20090111081003,2009,49,female,white,25000,FALSE,Bachelors,TRUE,1,16,Northeast,"NA",FALSE,metropolitan,TRUE,73
20090111081024,2009,38,male,white,60000,TRUE,Some college,TRUE,1,7,South,not employed,FALSE,non-metropolitan,TRUE,74
