ID,pair_id,cluster,time
20140101140011,NA,Cluster 2  | n =  2413,t1
20140101140168,NA,Cluster 6  | n =  889,t1
20140101140639,NA,Cluster 3  | n =  822,t1
20140101140702,NA,Cluster 5  | n =  929,t1
20140101140725,NA,Cluster 2  | n =  2413,t1
20140101140759,NA,Cluster 3  | n =  822,t1
20140101140792,NA,Cluster 5  | n =  929,t1
20140101140804,NA,Cluster 2  | n =  2413,t1
20140101140872,NA,Cluster 2  | n =  2413,t1
20140101140875,NA,Cluster 2  | n =  2413,t1
20140101140885,NA,Cluster 5  | n =  929,t1
20140101140911,NA,Cluster 5  | n =  929,t1
20140101140958,NA,Cluster 2  | n =  2413,t1
20140101140967,NA,Cluster 6  | n =  889,t1
20140101141014,NA,Cluster 5  | n =  929,t1
20140101141056,NA,Cluster 3  | n =  822,t1
20140101141134,NA,Cluster 5  | n =  929,t1
20140101141179,NA,Cluster 3  | n =  822,t1
20140101141180,NA,Cluster 2  | n =  2413,t1
20140101141214,NA,Cluster 2  | n =  2413,t1
20140101141288,NA,Cluster 2  | n =  2413,t1
20140101141331,NA,Cluster 6  | n =  889,t1
20140101141381,NA,Cluster 3  | n =  822,t1
20140101141386,NA,Cluster 2  | n =  2413,t1
20140101141418,NA,Cluster 6  | n =  889,t1
20140101141430,NA,Cluster 5  | n =  929,t1
20140101141502,NA,Cluster 2  | n =  2413,t1
20140101141556,NA,Cluster 3  | n =  822,t1
20140101141584,NA,Cluster 5  | n =  929,t1
20140101141589,NA,Cluster 5  | n =  929,t1
20140101141629,NA,Cluster 2  | n =  2413,t1
20140101141661,NA,Cluster 2  | n =  2413,t1
20140101141672,NA,Cluster 3  | n =  822,t1
20140101141687,NA,Cluster 2  | n =  2413,t1
20140101141777,NA,Cluster 6  | n =  889,t1
20140101141795,NA,Cluster 2  | n =  2413,t1
20140101141863,NA,Cluster 1  | n =  217,t1
20140101141897,NA,Cluster 5  | n =  929,t1
20140101141928,NA,Cluster 6  | n =  889,t1
20140101142008,NA,Cluster 6  | n =  889,t1
20140101142020,NA,Cluster 2  | n =  2413,t1
20140101142036,NA,Cluster 4  | n =  207,t1
20140101142043,NA,Cluster 2  | n =  2413,t1
20140101142048,NA,Cluster 2  | n =  2413,t1
20140101142108,NA,Cluster 3  | n =  822,t1
20140101142132,NA,Cluster 2  | n =  2413,t1
20140101142146,NA,Cluster 6  | n =  889,t1
20140101142155,NA,Cluster 6  | n =  889,t1
20140101142168,NA,Cluster 2  | n =  2413,t1
20140101142188,NA,Cluster 5  | n =  929,t1
20140101142193,NA,Cluster 5  | n =  929,t1
20140101142205,NA,Cluster 6  | n =  889,t1
20140101142230,NA,Cluster 3  | n =  822,t1
20140101142236,NA,Cluster 3  | n =  822,t1
20140101142253,NA,Cluster 2  | n =  2413,t1
20140101142265,NA,Cluster 3  | n =  822,t1
20140101142278,NA,Cluster 3  | n =  822,t1
20140101142301,NA,Cluster 2  | n =  2413,t1
20140101142319,NA,Cluster 5  | n =  929,t1
20140101142325,NA,Cluster 5  | n =  929,t1
20140101142357,NA,Cluster 4  | n =  207,t1
20140101142378,NA,Cluster 2  | n =  2413,t1
20140101142406,NA,Cluster 2  | n =  2413,t1
20140101142416,NA,Cluster 2  | n =  2413,t1
20140110131331,NA,Cluster 6  | n =  889,t1
20140110131395,NA,Cluster 3  | n =  822,t1
20140110131421,NA,Cluster 5  | n =  929,t1
20140110131656,NA,Cluster 2  | n =  2413,t1
20140110131797,NA,Cluster 5  | n =  929,t1
20140110131940,NA,Cluster 2  | n =  2413,t1
20140110131979,NA,Cluster 2  | n =  2413,t1
20140111130136,NA,Cluster 2  | n =  2413,t1
20140111130147,NA,Cluster 2  | n =  2413,t1
20140111130153,NA,Cluster 5  | n =  929,t1
20140111130154,NA,Cluster 3  | n =  822,t1
20140111130501,NA,Cluster 2  | n =  2413,t1
20140111130502,NA,Cluster 2  | n =  2413,t1
20140111130505,NA,Cluster 2  | n =  2413,t1
20140111130508,NA,Cluster 3  | n =  822,t1
20140111130541,NA,Cluster 6  | n =  889,t1
20140111130560,NA,Cluster 2  | n =  2413,t1
20140111130585,NA,Cluster 4  | n =  207,t1
20140111130588,NA,Cluster 5  | n =  929,t1
20140111130605,NA,Cluster 5  | n =  929,t1
