ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,labor_force_status
20070502070510,2007,52,female,black,20000,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,metropolitan,unemployed - looking
20070503070015,2007,65,female,white,20000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20070503070502,2007,30,female,white,10000,FALSE,HS,TRUE,1,3,South,"NA",FALSE,metropolitan,employed - absent
20070503070793,2007,54,male,white,100000,TRUE,Bachelors,TRUE,1,6,West,employed,FALSE,metropolitan,employed - at work
20070503070874,2007,72,female,black,30000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work
20070503071077,2007,70,female,white,7500,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,not in labor force
20070503071109,2007,56,male,black,150000,TRUE,Bachelors,FALSE,0,0,Midwest,employed,FALSE,metropolitan,employed - at work
20070503071212,2007,26,male,white,10000,TRUE,HS,TRUE,1,9,Midwest,not employed,FALSE,non-metropolitan,employed - at work
20070503071270,2007,42,female,black,100000,TRUE,Masters,FALSE,0,0,South,employed,FALSE,metropolitan,employed - at work
20070503071308,2007,25,male,white,60000,TRUE,Some college,FALSE,0,0,Northeast,employed,FALSE,metropolitan,employed - at work
20070503071426,2007,44,male,white,100000,TRUE,Some college,TRUE,5,1,Midwest,not employed,FALSE,non-metropolitan,employed - at work
20070503071468,2007,20,male,white,60000,FALSE,Some college,TRUE,1,16,Midwest,"NA",TRUE,metropolitan,employed - at work
20070503071617,2007,19,female,white,100000,FALSE,HS,TRUE,1,16,Northeast,"NA",TRUE,metropolitan,employed - at work
20070503071669,2007,80,female,white,20000,FALSE,HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,employed - at work
20070503071767,2007,40,female,white,150000,TRUE,Bachelors,TRUE,3,3,South,employed,FALSE,metropolitan,not in labor force
20070503071812,2007,46,female,white,20000,FALSE,Some college,TRUE,1,12,Midwest,"NA",FALSE,non-metropolitan,employed - at work
20070503071818,2007,21,female,asian,0,FALSE,Some college,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,not in labor force
20070503072062,2007,15,male,black,10000,FALSE,Did not graduate from HS,TRUE,1,15,South,"NA",TRUE,metropolitan,unemployed - looking
20070503072372,2007,41,male,white,150000,TRUE,Bachelors,TRUE,2,11,West,not employed,FALSE,non-metropolitan,employed - at work
20070503072436,2007,46,male,white,50000,TRUE,Bachelors,TRUE,2,9,South,employed,FALSE,metropolitan,employed - at work
20070504070079,2007,26,female,white,7500,FALSE,HS,TRUE,2,5,Northeast,"NA",FALSE,metropolitan,employed - at work
20070504070135,2007,30,male,black,0,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,employed - at work
20070504070518,2007,28,female,white,100000,TRUE,Bachelors,TRUE,1,9,South,employed,FALSE,metropolitan,employed - at work
20070504070531,2007,38,male,white,50000,TRUE,Some college,TRUE,2,5,South,not employed,FALSE,metropolitan,employed - at work
20070504070535,2007,16,male,black,5000,FALSE,Did not graduate from HS,TRUE,3,5,South,"NA",TRUE,non-metropolitan,not in labor force
20070504070579,2007,45,male,white,40000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan,employed - at work
20070504070602,2007,25,female,white,5000,FALSE,Did not graduate from HS,TRUE,2,0,South,"NA",FALSE,metropolitan,employed - at work
20070504070612,2007,47,male,other,20000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,non-metropolitan,employed - absent
20070504070623,2007,33,male,white,150000,TRUE,Some college,TRUE,2,5,West,employed,FALSE,metropolitan,employed - at work
20070504070632,2007,36,male,white,40000,TRUE,Did not graduate from HS,TRUE,2,6,West,not employed,FALSE,metropolitan,employed - at work
20070504070636,2007,46,male,white,100000,TRUE,Some college,TRUE,3,2,West,employed,TRUE,metropolitan,employed - at work
20070504070638,2007,56,female,white,12500,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan,not in labor force
20070504070651,2007,51,female,black,20000,TRUE,Some college,TRUE,2,1,West,employed,FALSE,metropolitan,employed - at work
20070504070652,2007,54,male,white,75000,TRUE,HS,FALSE,0,0,West,employed,FALSE,metropolitan,employed - at work
20070504070662,2007,16,male,white,150000,FALSE,Did not graduate from HS,TRUE,2,10,West,"NA",TRUE,metropolitan,not in labor force
20070504070669,2007,32,female,white,50000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan,employed - at work
20070504070672,2007,46,male,white,100000,TRUE,Bachelors,FALSE,0,0,West,employed,FALSE,metropolitan,employed - at work
20070504070692,2007,28,male,asian,35000,FALSE,HS,FALSE,0,0,West,"NA",FALSE,metropolitan,employed - at work
20070504070697,2007,19,male,white,20000,FALSE,HS,TRUE,1,1,West,"NA",FALSE,metropolitan,employed - at work
20070504070718,2007,32,male,white,10000,TRUE,Did not graduate from HS,TRUE,5,0,West,not employed,TRUE,metropolitan,employed - at work
20070504070749,2007,40,male,white,60000,TRUE,Some college,TRUE,2,14,West,employed,FALSE,non-metropolitan,employed - at work
20070504070760,2007,69,female,white,30000,TRUE,Some college,FALSE,0,0,West,employed,FALSE,metropolitan,not in labor force
20070504070767,2007,30,male,white,5000,TRUE,Bachelors,FALSE,0,0,West,employed,FALSE,metropolitan,employed - at work
20070504070789,2007,20,male,asian,75000,FALSE,Some college,TRUE,2,12,West,"NA",TRUE,metropolitan,employed - at work
20070504070819,2007,85,male,white,12500,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan,not in labor force
20070504070836,2007,73,female,white,30000,TRUE,HS,FALSE,0,0,West,not employed,FALSE,metropolitan,not in labor force
20070504070848,2007,44,male,white,60000,TRUE,Bachelors,TRUE,3,5,West,employed,FALSE,non-metropolitan,not in labor force
20070504070853,2007,44,male,white,100000,TRUE,Some college,TRUE,2,8,West,employed,FALSE,metropolitan,employed - at work
20070504070859,2007,77,male,white,7500,TRUE,Did not graduate from HS,FALSE,0,0,West,not employed,FALSE,metropolitan,employed - absent
20070504070879,2007,42,female,white,60000,TRUE,Some college,TRUE,3,1,West,employed,FALSE,metropolitan,employed - at work
20070504070886,2007,69,male,other,0,FALSE,Did not graduate from HS,FALSE,0,0,West,"NA",FALSE,metropolitan,not in labor force
20070504070890,2007,73,male,white,50000,TRUE,Masters,FALSE,0,0,Northeast,not employed,FALSE,metropolitan,not in labor force
