ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan
20080503080544,2008,31,male,asian,50000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan
20080503080569,2008,80,female,white,7500,FALSE,Did not graduate from HS,FALSE,0,0,West,"NA",FALSE,metropolitan
20080503080571,2008,77,male,white,30000,TRUE,Some college,FALSE,0,0,West,not employed,FALSE,metropolitan
20080503080731,2008,56,female,white,50000,TRUE,Did not graduate from HS,TRUE,1,5,West,employed,FALSE,metropolitan
20080503080858,2008,17,female,white,50000,FALSE,Did not graduate from HS,TRUE,3,13,South,"NA",TRUE,metropolitan
20080503080968,2008,42,male,white,60000,TRUE,Bachelors,TRUE,1,0,South,not employed,FALSE,metropolitan
20080503081149,2008,77,female,white,30000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan
20080503081448,2008,45,male,black,150000,TRUE,HS,TRUE,1,12,Midwest,employed,FALSE,metropolitan
20080503081467,2008,16,female,white,25000,FALSE,Did not graduate from HS,TRUE,1,16,West,"NA",TRUE,non-metropolitan
20080503081704,2008,16,male,white,100000,FALSE,Bachelors,TRUE,2,12,South,"NA",TRUE,metropolitan
20080503081743,2008,58,male,white,60000,FALSE,Bachelors,FALSE,0,0,South,"NA",FALSE,metropolitan
20080503081800,2008,71,female,white,10000,FALSE,Did not graduate from HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan
20080503081829,2008,26,male,white,15000,FALSE,Bachelors,FALSE,0,0,South,"NA",FALSE,non-metropolitan
20080503082027,2008,15,male,white,30000,FALSE,Did not graduate from HS,TRUE,1,15,South,"NA",TRUE,metropolitan
20080503082108,2008,56,male,white,50000,TRUE,Some college,TRUE,1,12,South,employed,FALSE,non-metropolitan
20080503082177,2008,22,male,white,75000,FALSE,Some college,FALSE,0,0,South,"NA",TRUE,metropolitan
20080503082228,2008,18,female,white,75000,FALSE,HS,TRUE,1,15,South,"NA",TRUE,non-metropolitan
20080503082258,2008,29,female,white,60000,TRUE,Bachelors,TRUE,3,0,West,employed,FALSE,metropolitan
20080503082268,2008,66,male,asian,50000,TRUE,Bachelors,FALSE,0,0,West,not employed,FALSE,metropolitan
20080503082286,2008,15,male,white,30000,FALSE,Did not graduate from HS,TRUE,2,14,West,"NA",TRUE,metropolitan
20080503082346,2008,36,male,white,15000,FALSE,HS,TRUE,2,10,West,"NA",TRUE,metropolitan
20080503082359,2008,39,female,white,20000,TRUE,Did not graduate from HS,TRUE,1,6,Northeast,employed,FALSE,metropolitan
20080503082408,2008,15,female,white,40000,FALSE,Did not graduate from HS,TRUE,1,15,South,"NA",TRUE,metropolitan
20080503082515,2008,17,female,white,40000,FALSE,Did not graduate from HS,TRUE,1,17,West,"NA",TRUE,non-metropolitan
20080504080088,2008,22,female,black,0,FALSE,Some college,TRUE,1,4,Midwest,"NA",FALSE,metropolitan
20080504080106,2008,39,male,white,25000,TRUE,Some college,FALSE,0,0,South,employed,FALSE,metropolitan
20080504080157,2008,74,female,black,15000,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,non-metropolitan
20080504080160,2008,29,male,black,30000,FALSE,Did not graduate from HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan
20080504080535,2008,57,male,black,12500,TRUE,HS,FALSE,0,0,Northeast,not employed,FALSE,metropolitan
20080504080536,2008,76,female,white,35000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,non-metropolitan
20080504080539,2008,72,female,white,60000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan
20080504080619,2008,35,male,asian,60000,TRUE,Masters,TRUE,2,2,West,not employed,FALSE,metropolitan
20080504080645,2008,15,male,white,50000,FALSE,Did not graduate from HS,TRUE,2,15,Northeast,"NA",TRUE,metropolitan
20080504080679,2008,19,male,white,75000,FALSE,Some college,FALSE,0,0,West,"NA",TRUE,metropolitan
20080504080688,2008,50,female,white,150000,TRUE,Masters,TRUE,2,4,West,employed,FALSE,metropolitan
20080504080708,2008,42,female,white,20000,FALSE,HS,TRUE,2,2,West,"NA",FALSE,metropolitan
20080504080726,2008,46,female,other,15000,FALSE,Some college,TRUE,2,14,Northeast,"NA",FALSE,metropolitan
20080504080727,2008,68,female,white,15000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,non-metropolitan
20080504080753,2008,31,female,white,75000,TRUE,Bachelors,TRUE,2,0,South,employed,FALSE,metropolitan
20080504080767,2008,57,male,white,50000,TRUE,Some college,TRUE,1,0,Midwest,employed,FALSE,metropolitan
20080504080790,2008,35,female,white,40000,TRUE,Bachelors,TRUE,2,3,South,employed,FALSE,non-metropolitan
20080504080801,2008,17,female,white,100000,FALSE,Did not graduate from HS,TRUE,2,15,South,"NA",TRUE,metropolitan
20080504080838,2008,60,female,black,20000,FALSE,HS,FALSE,0,0,Midwest,"NA",TRUE,non-metropolitan
20080504080848,2008,47,female,white,100000,TRUE,Bachelors,TRUE,2,10,West,employed,FALSE,metropolitan
20080504080851,2008,51,male,black,25000,FALSE,Bachelors,FALSE,0,0,Midwest,"NA",FALSE,metropolitan
