ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20100502101591,2010,57,female,white,7500,FALSE,Some college,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,1
20100502102341,2010,71,female,black,15000,FALSE,Masters,FALSE,0,0,West,"NA",FALSE,metropolitan,TRUE,2
20100503100512,2010,47,male,white,100000,TRUE,Bachelors,TRUE,1,9,Midwest,not employed,FALSE,metropolitan,TRUE,3
20100503100597,2010,73,female,black,12500,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,4
20100503100607,2010,63,female,white,40000,FALSE,Bachelors,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,5
20100503100679,2010,47,female,black,100000,TRUE,Some college,FALSE,0,0,Northeast,employed,FALSE,metropolitan,TRUE,6
20100503100759,2010,16,male,white,60000,FALSE,Did not graduate from HS,TRUE,2,15,West,"NA",TRUE,metropolitan,TRUE,7
20100503100823,2010,31,male,white,5000,TRUE,HS,TRUE,2,1,South,employed,FALSE,metropolitan,TRUE,8
20100503100841,2010,70,male,white,40000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan,TRUE,9
20100503100853,2010,70,male,white,150000,TRUE,Masters,FALSE,0,0,South,not employed,FALSE,metropolitan,TRUE,10
20100503100869,2010,37,male,white,60000,TRUE,Some college,TRUE,2,10,West,employed,FALSE,non-metropolitan,TRUE,11
20100503100950,2010,17,male,white,60000,FALSE,Did not graduate from HS,TRUE,1,17,Midwest,"NA",TRUE,metropolitan,TRUE,12
20100503101034,2010,27,female,white,50000,TRUE,Bachelors,TRUE,1,0,Midwest,employed,FALSE,metropolitan,TRUE,13
20100503101050,2010,62,female,white,20000,FALSE,Some college,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,TRUE,14
20100503101130,2010,79,female,white,25000,FALSE,HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,15
20100503101165,2010,41,female,black,0,FALSE,HS,TRUE,1,0,South,"NA",FALSE,metropolitan,TRUE,16
20100503101223,2010,32,male,white,50000,FALSE,HS,FALSE,0,0,Midwest,"NA",TRUE,metropolitan,TRUE,17
20100503101258,2010,56,female,white,25000,FALSE,Did not graduate from HS,FALSE,0,0,West,"NA",TRUE,metropolitan,TRUE,18
20100503101290,2010,27,female,white,25000,TRUE,HS,TRUE,4,7,South,employed,FALSE,non-metropolitan,TRUE,19
20100503101389,2010,33,male,white,75000,TRUE,HS,TRUE,1,8,Northeast,not employed,FALSE,metropolitan,TRUE,20
20100503101394,2010,39,male,white,40000,FALSE,Did not graduate from HS,TRUE,1,8,South,"NA",TRUE,metropolitan,TRUE,21
20100503101453,2010,27,male,white,10000,FALSE,Bachelors,FALSE,0,0,Northeast,"NA",TRUE,metropolitan,TRUE,22
20100503101487,2010,23,female,white,15000,TRUE,Some college,TRUE,3,1,South,employed,FALSE,metropolitan,TRUE,23
