ID,pair_id,cluster,time
20140502140884,NA,Cluster 1  |  n = 1691,t1
20140502140888,NA,Cluster 1  |  n = 1691,t1
20140502141946,NA,Cluster 3  |  n = 1487,t1
20140503140034,NA,Cluster 1  |  n = 1691,t1
20140503140096,NA,Cluster 3  |  n = 1487,t1
20140503140531,NA,Cluster 2  |  n = 390,t1
20140503140572,NA,Cluster 3  |  n = 1487,t1
20140503140587,NA,Cluster 1  |  n = 1691,t1
20140503140653,NA,Cluster 1  |  n = 1691,t1
20140503140694,NA,Cluster 3  |  n = 1487,t1
20140503140706,NA,Cluster 3  |  n = 1487,t1
20140503140711,NA,Cluster 1  |  n = 1691,t1
20140503140712,NA,Cluster 3  |  n = 1487,t1
20140503140719,NA,Cluster 1  |  n = 1691,t1
20140503140737,NA,Cluster 1  |  n = 1691,t1
20140503140761,NA,Cluster 1  |  n = 1691,t1
20140503140777,NA,Cluster 2  |  n = 390,t1
20140503140803,NA,Cluster 3  |  n = 1487,t1
20140503140820,NA,Cluster 1  |  n = 1691,t1
20140503140854,NA,Cluster 2  |  n = 390,t1
20140503140869,NA,Cluster 1  |  n = 1691,t1
20140503140913,NA,Cluster 3  |  n = 1487,t1
20140503140984,NA,Cluster 1  |  n = 1691,t1
20140503141041,NA,Cluster 3  |  n = 1487,t1
20140503141140,NA,Cluster 1  |  n = 1691,t1
20140503141189,NA,Cluster 1  |  n = 1691,t1
20140503141202,NA,Cluster 1  |  n = 1691,t1
20140503141238,NA,Cluster 1  |  n = 1691,t1
20140503141255,NA,Cluster 3  |  n = 1487,t1
20140503141294,NA,Cluster 1  |  n = 1691,t1
20140503141297,NA,Cluster 1  |  n = 1691,t1
20140503141317,NA,Cluster 1  |  n = 1691,t1
20140503141332,NA,Cluster 2  |  n = 390,t1
20140503141335,NA,Cluster 1  |  n = 1691,t1
20140503141408,NA,Cluster 2  |  n = 390,t1
20140503141451,NA,Cluster 1  |  n = 1691,t1
