ID,cluster,time
20130502130993,Cluster 1  |  n = 1500,t1
20130502132202,Cluster 1  |  n = 1500,t1
20130502132457,Cluster 2  |  n = 1501,t1
20130503130047,Cluster 2  |  n = 1501,t1
20130503130528,Cluster 2  |  n = 1501,t1
20130503130533,Cluster 1  |  n = 1500,t1
20130503130594,Cluster 2  |  n = 1501,t1
20130503130634,Cluster 2  |  n = 1501,t1
20130503130641,Cluster 3  |  n = 355,t1
20130503130656,Cluster 2  |  n = 1501,t1
20130503130754,Cluster 2  |  n = 1501,t1
20130503130763,Cluster 2  |  n = 1501,t1
20130503130821,Cluster 2  |  n = 1501,t1
20130503130847,Cluster 2  |  n = 1501,t1
20130503130861,Cluster 1  |  n = 1500,t1
20130503130879,Cluster 1  |  n = 1500,t1
20130503130916,Cluster 2  |  n = 1501,t1
20130503130945,Cluster 2  |  n = 1501,t1
20130503130951,Cluster 1  |  n = 1500,t1
20130503131024,Cluster 2  |  n = 1501,t1
20130503131025,Cluster 2  |  n = 1501,t1
20130503131059,Cluster 1  |  n = 1500,t1
20130503131066,Cluster 2  |  n = 1501,t1
20130503131187,Cluster 2  |  n = 1501,t1
20130503131235,Cluster 2  |  n = 1501,t1
20130503131316,Cluster 1  |  n = 1500,t1
20130503131340,Cluster 3  |  n = 355,t1
20130503131457,Cluster 1  |  n = 1500,t1
20130503131501,Cluster 1  |  n = 1500,t1
20130503131547,Cluster 1  |  n = 1500,t1
20130503131694,Cluster 3  |  n = 355,t1
20130503131790,Cluster 2  |  n = 1501,t1
20130503131801,Cluster 1  |  n = 1500,t1
20130503131824,Cluster 3  |  n = 355,t1
20130503131862,Cluster 2  |  n = 1501,t1
20130503132055,Cluster 2  |  n = 1501,t1
20130503132155,Cluster 2  |  n = 1501,t1
20130503132169,Cluster 2  |  n = 1501,t1
20130503132177,Cluster 2  |  n = 1501,t1
20130503132209,Cluster 2  |  n = 1501,t1
20130503132249,Cluster 3  |  n = 355,t1
20130503132312,Cluster 2  |  n = 1501,t1
20130503132318,Cluster 2  |  n = 1501,t1
20130503132319,Cluster 2  |  n = 1501,t1
20130503132327,Cluster 1  |  n = 1500,t1
20130503132333,Cluster 1  |  n = 1500,t1
20130503132386,Cluster 2  |  n = 1501,t1
20130503132463,Cluster 2  |  n = 1501,t1
20130503132484,Cluster 2  |  n = 1501,t1
20130503132496,Cluster 1  |  n = 1500,t1
20130503132523,Cluster 2  |  n = 1501,t1
20130504130011,Cluster 2  |  n = 1501,t1
20130504130041,Cluster 1  |  n = 1500,t1
20130504130055,Cluster 2  |  n = 1501,t1
20130504130057,Cluster 2  |  n = 1501,t1
20130504130059,Cluster 1  |  n = 1500,t1
20130504130068,Cluster 1  |  n = 1500,t1
20130504130082,Cluster 1  |  n = 1500,t1
20130504130083,Cluster 2  |  n = 1501,t1
20130504130084,Cluster 1  |  n = 1500,t1
20130504130099,Cluster 3  |  n = 355,t1
20130504130124,Cluster 1  |  n = 1500,t1
20130504130127,Cluster 1  |  n = 1500,t1
20130504130131,Cluster 1  |  n = 1500,t1
20130504130132,Cluster 1  |  n = 1500,t1
20130504130136,Cluster 3  |  n = 355,t1
20130504130159,Cluster 3  |  n = 355,t1
20130504130162,Cluster 2  |  n = 1501,t1
20130504130164,Cluster 1  |  n = 1500,t1
20130504130174,Cluster 1  |  n = 1500,t1
20130504130501,Cluster 2  |  n = 1501,t1
20130504130502,Cluster 2  |  n = 1501,t1
20130504130507,Cluster 1  |  n = 1500,t1
20130504130510,Cluster 2  |  n = 1501,t1
20130504130511,Cluster 1  |  n = 1500,t1
20130504130512,Cluster 2  |  n = 1501,t1
20130504130514,Cluster 2  |  n = 1501,t1
20130504130522,Cluster 1  |  n = 1500,t1
20130504130523,Cluster 2  |  n = 1501,t1
20130504130527,Cluster 2  |  n = 1501,t1
20130504130532,Cluster 2  |  n = 1501,t1
20130504130537,Cluster 1  |  n = 1500,t1
20130504130539,Cluster 1  |  n = 1500,t1
20130504130541,Cluster 1  |  n = 1500,t1
20130504130550,Cluster 1  |  n = 1500,t1
20130504130553,Cluster 1  |  n = 1500,t1
20130504130554,Cluster 2  |  n = 1501,t1
20130504130567,Cluster 2  |  n = 1501,t1
20130504130571,Cluster 2  |  n = 1501,t1
20130504130575,Cluster 1  |  n = 1500,t1
20130504130577,Cluster 1  |  n = 1500,t1
20130504130591,Cluster 1  |  n = 1500,t1
20130504130600,Cluster 1  |  n = 1500,t1
20130504130601,Cluster 1  |  n = 1500,t1
20130504130607,Cluster 3  |  n = 355,t1
20130504130611,Cluster 2  |  n = 1501,t1
20130504130615,Cluster 2  |  n = 1501,t1
20130504130622,Cluster 2  |  n = 1501,t1
20130504130632,Cluster 2  |  n = 1501,t1
20130504130644,Cluster 2  |  n = 1501,t1
20130504130652,Cluster 2  |  n = 1501,t1
20130504130664,Cluster 2  |  n = 1501,t1
20130504130668,Cluster 1  |  n = 1500,t1
20130504130679,Cluster 2  |  n = 1501,t1
20130504130680,Cluster 1  |  n = 1500,t1
20130504130681,Cluster 1  |  n = 1500,t1
20130504130687,Cluster 2  |  n = 1501,t1
20130504130697,Cluster 1  |  n = 1500,t1
20130504130717,Cluster 2  |  n = 1501,t1
20130504130751,Cluster 2  |  n = 1501,t1
20130504130763,Cluster 1  |  n = 1500,t1
20130504130764,Cluster 2  |  n = 1501,t1
20130504130769,Cluster 2  |  n = 1501,t1
20130504130776,Cluster 3  |  n = 355,t1
20130504130784,Cluster 1  |  n = 1500,t1
20130504130790,Cluster 1  |  n = 1500,t1
20130504130794,Cluster 2  |  n = 1501,t1
20130504130796,Cluster 2  |  n = 1501,t1
20130504130797,Cluster 1  |  n = 1500,t1
20130504130799,Cluster 3  |  n = 355,t1
20130504130802,Cluster 1  |  n = 1500,t1
20130504130804,Cluster 1  |  n = 1500,t1
20130504130808,Cluster 1  |  n = 1500,t1
20130504130814,Cluster 1  |  n = 1500,t1
20130504130826,Cluster 2  |  n = 1501,t1
20130504130846,Cluster 1  |  n = 1500,t1
20130504130851,Cluster 2  |  n = 1501,t1
20130504130852,Cluster 1  |  n = 1500,t1
20130504130860,Cluster 2  |  n = 1501,t1
20130504130866,Cluster 1  |  n = 1500,t1
20130504130882,Cluster 2  |  n = 1501,t1
20130504130884,Cluster 2  |  n = 1501,t1
20130504130889,Cluster 2  |  n = 1501,t1
20130504130891,Cluster 1  |  n = 1500,t1
20130504130897,Cluster 2  |  n = 1501,t1
20130504130898,Cluster 2  |  n = 1501,t1
20130504130903,Cluster 1  |  n = 1500,t1
20130504130908,Cluster 1  |  n = 1500,t1
20130504130909,Cluster 2  |  n = 1501,t1
20130504130929,Cluster 3  |  n = 355,t1
20130504130932,Cluster 1  |  n = 1500,t1
20130504130937,Cluster 3  |  n = 355,t1
20130504130942,Cluster 1  |  n = 1500,t1
20130504130949,Cluster 2  |  n = 1501,t1
20130504130963,Cluster 2  |  n = 1501,t1
20130504130967,Cluster 1  |  n = 1500,t1
20130504130983,Cluster 3  |  n = 355,t1
20130504130994,Cluster 1  |  n = 1500,t1
20130504131011,Cluster 1  |  n = 1500,t1
