ID,pair_id,cluster,time
20060101060014,1,Cluster 3  | n =  1164,t1
20060101060500,2,Cluster 3  | n =  1164,t1
20060101060581,3,Cluster 3  | n =  1164,t1
20060101060697,4,Cluster 1  | n =  1274,t1
20060101060713,5,Cluster 2  | n =  143,t1
20060101060716,6,Cluster 1  | n =  1274,t1
20060101060924,7,Cluster 3  | n =  1164,t1
20060101060982,8,Cluster 1  | n =  1274,t1
20060101061011,9,Cluster 1  | n =  1274,t1
20060101061026,10,Cluster 1  | n =  1274,t1
20060101061036,11,Cluster 1  | n =  1274,t1
20060101061054,12,Cluster 3  | n =  1164,t1
20060101061074,13,Cluster 3  | n =  1164,t1
20060101061094,14,Cluster 3  | n =  1164,t1
20060101061226,15,Cluster 1  | n =  1274,t1
20060101061232,16,Cluster 3  | n =  1164,t1
20060101061244,17,Cluster 3  | n =  1164,t1
20060101061287,18,Cluster 1  | n =  1274,t1
20060101061291,19,Cluster 1  | n =  1274,t1
20060101061325,20,Cluster 3  | n =  1164,t1
20060101061352,21,Cluster 1  | n =  1274,t1
20060101061362,22,Cluster 1  | n =  1274,t1
20060101061443,23,Cluster 3  | n =  1164,t1
20060101061555,24,Cluster 1  | n =  1274,t1
20060101061636,25,Cluster 3  | n =  1164,t1
20060101061716,26,Cluster 3  | n =  1164,t1
20060101061720,27,Cluster 3  | n =  1164,t1
20060101061805,28,Cluster 1  | n =  1274,t1
20060101061920,29,Cluster 1  | n =  1274,t1
20060101061927,30,Cluster 3  | n =  1164,t1
20060101061973,31,Cluster 3  | n =  1164,t1
20060101061988,32,Cluster 1  | n =  1274,t1
20060101061999,33,Cluster 1  | n =  1274,t1
20060101062027,34,Cluster 1  | n =  1274,t1
20060101062057,35,Cluster 3  | n =  1164,t1
20060101062165,36,Cluster 1  | n =  1274,t1
20060101062222,37,Cluster 1  | n =  1274,t1
20060101062239,38,Cluster 3  | n =  1164,t1
20060101062275,39,Cluster 3  | n =  1164,t1
20060101062290,40,Cluster 3  | n =  1164,t1
20060101062331,41,Cluster 3  | n =  1164,t1
20060101062345,42,Cluster 3  | n =  1164,t1
20060110050629,43,Cluster 3  | n =  1164,t1
20060110051545,44,Cluster 1  | n =  1274,t1
20060110051916,45,Cluster 3  | n =  1164,t1
20060111050524,46,Cluster 1  | n =  1274,t1
20060111050532,47,Cluster 1  | n =  1274,t1
20060111050535,48,Cluster 1  | n =  1274,t1
