ID,year,age,sex,race,fam_income,married,education,n_child,age_youngest,region,labor_force_status,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20071211072336,2007,73,male,white,20000,married,HS,0,0,Northeast,not in labor force,not employed,FALSE,metropolitan,FALSE,1
20071009070523,2007,75,female,white,40000,not married,Masters,0,0,South,not in labor force,"NA",FALSE,non-metropolitan,FALSE,2
20071010071954,2007,51,male,other,25000,not married,Did not graduate from HS,0,0,Northeast,unemployed - looking,"NA",FALSE,metropolitan,FALSE,3
20070808071671,2007,64,female,white,30000,not married,HS,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,4
20070504072250,2007,43,male,black,40000,not married,HS,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,5
20071211071067,2007,62,female,white,35000,not married,HS,0,0,Midwest,employed - at work,not employed,FALSE,metropolitan,FALSE,6
20070212062007,2007,80,male,white,20000,not married,HS,0,0,Midwest,not in labor force,"NA",FALSE,non-metropolitan,FALSE,7
20070605071292,2007,56,female,white,60000,married,HS,0,0,South,employed - at work,not employed,FALSE,metropolitan,FALSE,8
20071009071654,2007,31,female,white,100000,not married,Masters,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,9
20070302072193,2007,33,male,white,30000,married,HS,2,3,West,employed - at work,not employed,FALSE,"NA",FALSE,10
20070706070722,2007,36,female,white,150000,married,Bachelors,3,1,West,not in labor force,employed,FALSE,metropolitan,FALSE,11
20070504071383,2007,70,female,white,75000,not married,Masters,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,12
20070807072212,2007,34,male,white,150000,married,Bachelors,2,0,South,employed - at work,not employed,FALSE,metropolitan,FALSE,13
20070111062014,2007,49,female,white,50000,married,Some college,1,17,Midwest,employed - at work,employed,FALSE,non-metropolitan,FALSE,14
20070605071278,2007,16,male,white,50000,not married,Did not graduate from HS,1,16,Midwest,employed - at work,"NA",TRUE,non-metropolitan,FALSE,15
20070807070539,2007,16,female,black,20000,not married,Did not graduate from HS,2,0,West,employed - at work,"NA",TRUE,metropolitan,FALSE,16
20070504071835,2007,30,female,black,20000,married,HS,2,7,South,employed - at work,employed,FALSE,metropolitan,FALSE,17
20070605072358,2007,55,female,white,100000,married,Some college,0,0,South,not in labor force,not employed,FALSE,metropolitan,FALSE,18
20070403072284,2007,70,female,white,20000,not married,Did not graduate from HS,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,19
