ID,year,age,sex,race,HH_income,married,education,n_child,age_youngest,region,treatment,pair_id
20090101090845,2009,35,female,white,40000,married,Some college,4,0,Midwest,TRUE,1
20090101090991,2009,39,female,white,100000,married,Bachelors,2,2,Midwest,TRUE,2
20090101091015,2009,37,female,white,0,not married,HS,1,6,Midwest,TRUE,3
20090101091029,2009,52,female,white,75000,married,Doctoral,1,15,Northeast,TRUE,4
20090101091034,2009,16,female,asian,40000,not married,Did not graduate from HS,1,16,Northeast,TRUE,5
20090101091059,2009,45,female,white,60000,married,HS,2,11,Midwest,TRUE,6
20090101091085,2009,45,female,white,12500,not married,Bachelors,2,3,West,TRUE,7
20090101091112,2009,32,female,asian,60000,married,Bachelors,2,2,South,TRUE,8
20090101091329,2009,38,female,white,60000,not married,Some college,1,10,West,TRUE,9
20090101091497,2009,31,male,white,100000,married,Bachelors,2,3,Midwest,TRUE,10
20090101091951,2009,70,male,white,150000,married,Doctoral,1,15,South,TRUE,11
20090101092057,2009,36,female,white,0,not married,Did not graduate from HS,3,7,West,TRUE,12
20090101092071,2009,29,female,white,10000,not married,Some college,1,7,South,TRUE,13
20090101092287,2009,62,male,white,35000,married,Masters,1,4,South,TRUE,14
20090110080503,2009,43,female,asian,100000,married,Masters,2,2,West,TRUE,15
20090110081010,2009,55,male,white,60000,married,HS,1,17,West,TRUE,16
20090110082505,2009,16,male,black,50000,not married,Did not graduate from HS,2,10,Midwest,TRUE,17
20090111080005,2009,43,female,black,25000,not married,HS,3,0,Midwest,TRUE,18
20090111080534,2009,34,female,white,150000,married,Bachelors,2,2,Northeast,TRUE,19
20090111080610,2009,38,male,white,60000,married,HS,3,8,Midwest,TRUE,20
20090111080623,2009,17,male,white,75000,not married,Did not graduate from HS,1,17,West,TRUE,21
20090111080670,2009,43,male,white,100000,married,Bachelors,1,12,West,TRUE,22
20090111080787,2009,19,male,white,50000,not married,Did not graduate from HS,1,15,West,TRUE,23
20090111080791,2009,69,male,other,60000,married,HS,2,4,Midwest,TRUE,24
20090111080803,2009,35,male,white,100000,married,Bachelors,3,2,South,TRUE,25
20090111080814,2009,29,female,white,40000,not married,Bachelors,1,8,South,TRUE,26
20090111080903,2009,44,male,black,75000,married,Some college,1,11,Northeast,TRUE,27
20090111080981,2009,20,male,white,20000,not married,HS,2,12,South,TRUE,28
20090111081003,2009,49,female,white,25000,not married,Bachelors,1,16,Northeast,TRUE,29
20090111081024,2009,38,male,white,60000,married,Some college,1,7,South,TRUE,30
20090111081036,2009,41,male,white,100000,married,Bachelors,2,0,Midwest,TRUE,31
20090111081067,2009,51,male,white,150000,married,Masters,3,11,South,TRUE,32
20090111081092,2009,30,female,white,100000,married,Some college,1,3,West,TRUE,33
20090111081140,2009,45,female,white,100000,married,Bachelors,1,4,South,TRUE,34
20090111081199,2009,30,female,white,150000,married,HS,1,12,West,TRUE,35
20090111081234,2009,32,female,black,5000,not married,Did not graduate from HS,3,5,South,TRUE,36
20090111081330,2009,40,female,white,100000,married,Bachelors,2,3,South,TRUE,37
20090111081361,2009,36,male,black,100000,married,Did not graduate from HS,1,14,Midwest,TRUE,38
20090111081375,2009,39,male,asian,75000,married,Some college,1,9,South,TRUE,39
20090111081423,2009,23,male,black,60000,not married,Did not graduate from HS,1,13,Northeast,TRUE,40
20090111081455,2009,71,male,white,25000,not married,HS,1,16,Northeast,TRUE,41
20090111081462,2009,16,male,white,150000,not married,Did not graduate from HS,1,16,South,TRUE,42
20090111081561,2009,26,male,white,50000,married,Did not graduate from HS,5,3,Midwest,TRUE,43
20090111081602,2009,16,male,white,50000,not married,Did not graduate from HS,2,13,Midwest,TRUE,44
20090111081635,2009,39,female,white,75000,married,Some college,1,16,South,TRUE,45
20090111081726,2009,36,male,white,100000,married,Bachelors,2,1,South,TRUE,46
20090111081738,2009,26,female,black,15000,not married,HS,2,2,South,TRUE,47
20090111081754,2009,35,male,white,12500,not married,Did not graduate from HS,2,5,Midwest,TRUE,48
20090111081863,2009,43,male,white,50000,married,Some college,4,6,West,TRUE,49
20090111081899,2009,47,male,white,30000,married,HS,2,8,Northeast,TRUE,50
20090111081907,2009,44,male,white,100000,married,Masters,2,9,West,TRUE,51
20090111081908,2009,40,male,white,60000,married,HS,3,11,West,TRUE,52
20090111081953,2009,15,female,black,20000,not married,Did not graduate from HS,3,11,South,TRUE,53
20090111081967,2009,26,male,white,60000,married,Some college,1,0,Midwest,TRUE,54
20090111081974,2009,16,female,white,40000,not married,Did not graduate from HS,3,1,Midwest,TRUE,55
20090111081980,2009,44,female,white,40000,not married,Some college,2,10,Midwest,TRUE,56
20090111081997,2009,16,female,white,60000,not married,Did not graduate from HS,1,16,South,TRUE,57
20090111082024,2009,34,male,white,60000,married,HS,1,3,South,TRUE,58
20090111082099,2009,50,female,white,50000,married,HS,1,12,Midwest,TRUE,59
20090111082122,2009,45,female,white,75000,married,Did not graduate from HS,2,3,West,TRUE,60
20090111082152,2009,40,female,white,100000,married,Bachelors,1,11,West,TRUE,61
20090111082236,2009,33,female,black,20000,not married,Some college,3,3,West,TRUE,62
20090111082294,2009,41,male,white,60000,married,Some college,2,2,Northeast,TRUE,63
20090111082318,2009,27,female,black,10000,not married,Some college,2,0,Midwest,TRUE,64
20090111082394,2009,16,female,white,60000,not married,Did not graduate from HS,1,16,Northeast,TRUE,65
20090111082465,2009,53,male,black,150000,married,Some college,2,14,South,TRUE,66
20090112080011,2009,35,female,white,40000,not married,Some college,1,10,Northeast,TRUE,67
20090112080014,2009,37,male,white,75000,married,HS,1,9,West,TRUE,68
20090112080025,2009,32,female,white,25000,married,HS,1,2,South,TRUE,69
20090112080051,2009,46,male,white,0,not married,Some college,1,6,South,TRUE,70
20090112080053,2009,21,male,white,40000,not married,Did not graduate from HS,1,16,South,TRUE,71
20090112080086,2009,27,female,black,10000,married,Some college,2,1,South,TRUE,72
20090112080104,2009,47,female,white,25000,not married,Some college,1,14,South,TRUE,73
20090112080161,2009,42,female,white,12500,not married,Some college,1,11,Northeast,TRUE,74
20090112080169,2009,20,male,white,30000,not married,Did not graduate from HS,1,4,South,TRUE,75
20090112080502,2009,44,male,white,150000,married,Masters,5,4,Northeast,TRUE,76
20090112080508,2009,43,female,white,150000,married,Doctoral,2,9,Northeast,TRUE,77
20090112080541,2009,48,male,white,40000,married,HS,3,6,South,TRUE,78
20090112080547,2009,45,male,white,60000,married,Some college,1,5,South,TRUE,79
20090112080553,2009,29,male,white,7500,not married,Some college,2,6,West,TRUE,80
20090112080574,2009,47,female,white,0,not married,Bachelors,2,10,Northeast,TRUE,81
20090112080618,2009,39,female,white,50000,married,HS,2,10,West,TRUE,82
20090112080638,2009,45,male,white,15000,married,Did not graduate from HS,1,6,West,TRUE,83
20090112080647,2009,41,female,white,50000,married,Some college,2,13,Midwest,TRUE,84
20090112080651,2009,43,female,white,60000,married,HS,1,12,South,TRUE,85
20090112080675,2009,38,male,white,75000,married,Some college,2,7,South,TRUE,86
20090112080677,2009,37,male,white,50000,married,Did not graduate from HS,2,12,West,TRUE,87
20090112080688,2009,36,female,white,50000,married,Some college,3,4,South,TRUE,88
20090112080698,2009,24,male,black,35000,not married,Some college,1,8,Midwest,TRUE,89
20090112080712,2009,18,male,white,75000,not married,Did not graduate from HS,2,0,Northeast,TRUE,90
20090112080759,2009,56,male,white,100000,married,HS,2,12,Midwest,TRUE,91
20090112080763,2009,30,female,white,100000,married,Doctoral,2,0,Northeast,TRUE,92
20090112080767,2009,20,male,white,30000,not married,Some college,1,14,West,TRUE,93
20090112080801,2009,42,female,white,75000,married,Bachelors,2,9,Northeast,TRUE,94
20090112080804,2009,17,male,white,150000,not married,Did not graduate from HS,2,14,Midwest,TRUE,95
20090112080821,2009,46,female,white,100000,married,Some college,1,16,Northeast,TRUE,96
20090112080835,2009,46,female,white,60000,married,HS,2,9,Northeast,TRUE,97
20090112080843,2009,37,male,white,150000,married,Bachelors,2,0,Midwest,TRUE,98
20090112080857,2009,15,male,black,20000,not married,Did not graduate from HS,3,2,South,TRUE,99
20090112080859,2009,43,male,white,15000,not married,Some college,1,8,Midwest,TRUE,100
20090112080860,2009,19,male,white,75000,not married,Some college,1,13,South,TRUE,101
20090112080883,2009,31,male,white,150000,married,Bachelors,2,1,Midwest,TRUE,102
20090112080885,2009,18,male,white,40000,not married,HS,1,8,West,TRUE,103
20090112080911,2009,16,male,white,25000,not married,Did not graduate from HS,1,16,South,TRUE,104
20090112080916,2009,23,female,white,15000,not married,Did not graduate from HS,2,4,South,TRUE,105
20090112080921,2009,21,male,black,0,not married,HS,1,4,West,TRUE,106
