ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan
20050502050639,2005,27,male,black,150000,TRUE,Masters,FALSE,0,0,West,employed,FALSE,metropolitan
20050502051249,2005,40,female,white,100000,TRUE,Doctoral,TRUE,1,6,South,not employed,FALSE,metropolitan
20050502052477,2005,45,female,white,75000,TRUE,Some college,TRUE,3,6,Midwest,employed,FALSE,metropolitan
20050503050500,2005,39,male,white,60000,TRUE,Bachelors,TRUE,1,17,South,employed,FALSE,metropolitan
20050503050587,2005,36,female,black,40000,FALSE,Some college,TRUE,3,0,South,"NA",FALSE,metropolitan
20050503050678,2005,40,male,white,100000,TRUE,HS,TRUE,2,14,West,employed,FALSE,metropolitan
20050503050767,2005,30,female,asian,75000,TRUE,Some college,TRUE,2,1,West,employed,FALSE,metropolitan
20050503050897,2005,49,female,white,0,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,metropolitan
20050503050915,2005,24,female,white,15000,TRUE,HS,FALSE,0,0,South,employed,FALSE,metropolitan
20050503051038,2005,49,female,white,25000,TRUE,HS,FALSE,0,0,South,employed,TRUE,non-metropolitan
20050503051056,2005,41,male,white,75000,FALSE,HS,FALSE,0,0,West,"NA",FALSE,non-metropolitan
20050503051113,2005,31,female,black,35000,TRUE,Masters,TRUE,3,4,Midwest,employed,FALSE,non-metropolitan
20050503051134,2005,46,male,white,100000,TRUE,Some college,TRUE,3,7,Midwest,not employed,FALSE,metropolitan
20050503051174,2005,29,male,white,60000,TRUE,Bachelors,TRUE,1,3,Midwest,employed,FALSE,metropolitan
20050503051189,2005,85,female,white,20000,FALSE,Some college,FALSE,0,0,Midwest,"NA",FALSE,metropolitan
20050503051199,2005,65,female,white,60000,TRUE,Some college,FALSE,0,0,Midwest,employed,FALSE,non-metropolitan
20050503051239,2005,15,female,white,60000,FALSE,Did not graduate from HS,TRUE,2,8,Midwest,"NA",TRUE,metropolitan
20050503051454,2005,45,male,white,150000,TRUE,Bachelors,TRUE,2,7,Midwest,employed,FALSE,metropolitan
20050503051519,2005,22,female,black,0,FALSE,Did not graduate from HS,TRUE,2,3,South,"NA",TRUE,non-metropolitan
20050503051521,2005,27,male,white,50000,TRUE,Some college,TRUE,2,1,South,employed,FALSE,metropolitan
