ID,cluster,time
20080502080709,Cluster 1  |  n = 1633,t1
20080502082034,Cluster 1  |  n = 1633,t1
20080503080165,Cluster 1  |  n = 1633,t1
20080503080544,Cluster 1  |  n = 1633,t1
20080503080569,Cluster 2  |  n = 1298,t1
20080503080571,Cluster 2  |  n = 1298,t1
20080503080600,Cluster 2  |  n = 1298,t1
20080503080710,Cluster 1  |  n = 1633,t1
20080503080731,Cluster 3  |  n = 395,t1
20080503080858,Cluster 2  |  n = 1298,t1
20080503080862,Cluster 1  |  n = 1633,t1
20080503080863,Cluster 2  |  n = 1298,t1
20080503080868,Cluster 1  |  n = 1633,t1
20080503080876,Cluster 2  |  n = 1298,t1
20080503080930,Cluster 1  |  n = 1633,t1
20080503080968,Cluster 2  |  n = 1298,t1
20080503080969,Cluster 3  |  n = 395,t1
20080503081009,Cluster 1  |  n = 1633,t1
20080503081149,Cluster 2  |  n = 1298,t1
20080503081401,Cluster 1  |  n = 1633,t1
20080503081448,Cluster 1  |  n = 1633,t1
20080503081467,Cluster 2  |  n = 1298,t1
20080503081528,Cluster 3  |  n = 395,t1
20080503081566,Cluster 1  |  n = 1633,t1
20080503081613,Cluster 1  |  n = 1633,t1
20080503081685,Cluster 1  |  n = 1633,t1
20080503081693,Cluster 1  |  n = 1633,t1
20080503081704,Cluster 2  |  n = 1298,t1
20080503081743,Cluster 1  |  n = 1633,t1
20080503081754,Cluster 1  |  n = 1633,t1
20080503081764,Cluster 2  |  n = 1298,t1
20080503081800,Cluster 2  |  n = 1298,t1
20080503081801,Cluster 3  |  n = 395,t1
20080503081829,Cluster 1  |  n = 1633,t1
20080503081927,Cluster 3  |  n = 395,t1
20080503081985,Cluster 1  |  n = 1633,t1
20080503082027,Cluster 2  |  n = 1298,t1
20080503082093,Cluster 1  |  n = 1633,t1
20080503082108,Cluster 3  |  n = 395,t1
20080503082130,Cluster 2  |  n = 1298,t1
20080503082177,Cluster 2  |  n = 1298,t1
20080503082192,Cluster 1  |  n = 1633,t1
20080503082228,Cluster 2  |  n = 1298,t1
20080503082258,Cluster 3  |  n = 395,t1
20080503082268,Cluster 2  |  n = 1298,t1
20080503082286,Cluster 2  |  n = 1298,t1
20080503082346,Cluster 1  |  n = 1633,t1
20080503082359,Cluster 2  |  n = 1298,t1
20080503082383,Cluster 3  |  n = 395,t1
20080503082393,Cluster 2  |  n = 1298,t1
20080503082408,Cluster 2  |  n = 1298,t1
20080503082515,Cluster 2  |  n = 1298,t1
20080504080024,Cluster 1  |  n = 1633,t1
20080504080030,Cluster 1  |  n = 1633,t1
20080504080080,Cluster 3  |  n = 395,t1
20080504080081,Cluster 1  |  n = 1633,t1
20080504080088,Cluster 2  |  n = 1298,t1
20080504080104,Cluster 2  |  n = 1298,t1
20080504080106,Cluster 1  |  n = 1633,t1
20080504080120,Cluster 1  |  n = 1633,t1
20080504080141,Cluster 1  |  n = 1633,t1
20080504080157,Cluster 2  |  n = 1298,t1
20080504080160,Cluster 2  |  n = 1298,t1
20080504080170,Cluster 2  |  n = 1298,t1
20080504080509,Cluster 1  |  n = 1633,t1
20080504080522,Cluster 3  |  n = 395,t1
20080504080524,Cluster 2  |  n = 1298,t1
20080504080525,Cluster 2  |  n = 1298,t1
20080504080527,Cluster 1  |  n = 1633,t1
20080504080535,Cluster 2  |  n = 1298,t1
