ID,pair_id,cluster,time
20060502060518,NA,Cluster 1  |  n = 1650,t1
20060502060606,NA,Cluster 2  |  n = 446,t1
20060502060727,NA,Cluster 4  |  n = 1111,t1
20060502060958,NA,Cluster 1  |  n = 1650,t1
20060502061263,NA,Cluster 1  |  n = 1650,t1
20060502061442,NA,Cluster 1  |  n = 1650,t1
20060502061554,NA,Cluster 4  |  n = 1111,t1
20060502062114,NA,Cluster 1  |  n = 1650,t1
20060502062497,NA,Cluster 2  |  n = 446,t1
20060503060121,NA,Cluster 2  |  n = 446,t1
20060503060514,NA,Cluster 1  |  n = 1650,t1
20060503060559,NA,Cluster 4  |  n = 1111,t1
20060503060561,NA,Cluster 3  |  n = 158,t1
20060503060599,NA,Cluster 3  |  n = 158,t1
20060503060670,NA,Cluster 1  |  n = 1650,t1
20060503060675,NA,Cluster 4  |  n = 1111,t1
20060503060686,NA,Cluster 1  |  n = 1650,t1
20060503060696,NA,Cluster 1  |  n = 1650,t1
20060503060712,NA,Cluster 4  |  n = 1111,t1
20060503060719,NA,Cluster 3  |  n = 158,t1
20060503060829,NA,Cluster 1  |  n = 1650,t1
20060503060869,NA,Cluster 1  |  n = 1650,t1
20060503060873,NA,Cluster 1  |  n = 1650,t1
20060503060891,NA,Cluster 3  |  n = 158,t1
20060503060896,NA,Cluster 2  |  n = 446,t1
20060503060920,NA,Cluster 4  |  n = 1111,t1
20060503060942,NA,Cluster 1  |  n = 1650,t1
20060503060968,NA,Cluster 1  |  n = 1650,t1
20060503061061,NA,Cluster 1  |  n = 1650,t1
20060503061085,NA,Cluster 4  |  n = 1111,t1
20060503061087,NA,Cluster 4  |  n = 1111,t1
20060503061091,NA,Cluster 4  |  n = 1111,t1
20060503061092,NA,Cluster 1  |  n = 1650,t1
20060503061116,NA,Cluster 4  |  n = 1111,t1
20060503061132,NA,Cluster 1  |  n = 1650,t1
20060503061167,NA,Cluster 1  |  n = 1650,t1
20060503061238,NA,Cluster 1  |  n = 1650,t1
20060503061261,NA,Cluster 1  |  n = 1650,t1
20060503061282,NA,Cluster 3  |  n = 158,t1
20060503061334,NA,Cluster 1  |  n = 1650,t1
20060503061376,NA,Cluster 1  |  n = 1650,t1
20060503061415,NA,Cluster 1  |  n = 1650,t1
20060503061474,NA,Cluster 4  |  n = 1111,t1
20060503061476,NA,Cluster 4  |  n = 1111,t1
20060503061477,NA,Cluster 1  |  n = 1650,t1
20060503061478,NA,Cluster 1  |  n = 1650,t1
20060503061488,NA,Cluster 1  |  n = 1650,t1
20060503061496,NA,Cluster 2  |  n = 446,t1
20060503061521,NA,Cluster 1  |  n = 1650,t1
20060503061613,NA,Cluster 3  |  n = 158,t1
20060503061624,NA,Cluster 1  |  n = 1650,t1
20060503061646,NA,Cluster 4  |  n = 1111,t1
20060503061658,NA,Cluster 4  |  n = 1111,t1
20060503061704,NA,Cluster 3  |  n = 158,t1
20060503061710,NA,Cluster 1  |  n = 1650,t1
20060503061711,NA,Cluster 3  |  n = 158,t1
20060503061716,NA,Cluster 1  |  n = 1650,t1
20060503061721,NA,Cluster 4  |  n = 1111,t1
20060503061727,NA,Cluster 4  |  n = 1111,t1
20060503061765,NA,Cluster 1  |  n = 1650,t1
20060503061767,NA,Cluster 1  |  n = 1650,t1
20060503061772,NA,Cluster 4  |  n = 1111,t1
20060503061774,NA,Cluster 1  |  n = 1650,t1
20060503061831,NA,Cluster 4  |  n = 1111,t1
20060503061837,NA,Cluster 1  |  n = 1650,t1
20060503061854,NA,Cluster 1  |  n = 1650,t1
20060503061875,NA,Cluster 1  |  n = 1650,t1
20060503061877,NA,Cluster 1  |  n = 1650,t1
20060503061966,NA,Cluster 4  |  n = 1111,t1
20060503061986,NA,Cluster 2  |  n = 446,t1
20060503062052,NA,Cluster 2  |  n = 446,t1
20060503062099,NA,Cluster 1  |  n = 1650,t1
20060503062235,NA,Cluster 1  |  n = 1650,t1
20060503062244,NA,Cluster 1  |  n = 1650,t1
20060503062261,NA,Cluster 1  |  n = 1650,t1
20060503062288,NA,Cluster 2  |  n = 446,t1
20060503062301,NA,Cluster 2  |  n = 446,t1
20060503062311,NA,Cluster 1  |  n = 1650,t1
20060503062316,NA,Cluster 4  |  n = 1111,t1
20060503062338,NA,Cluster 2  |  n = 446,t1
20060503062390,NA,Cluster 1  |  n = 1650,t1
20060503062393,NA,Cluster 4  |  n = 1111,t1
20060503062401,NA,Cluster 2  |  n = 446,t1
20060503062494,NA,Cluster 2  |  n = 446,t1
20060503062499,NA,Cluster 1  |  n = 1650,t1
20060503062534,NA,Cluster 1  |  n = 1650,t1
20060504060004,NA,Cluster 2  |  n = 446,t1
20060504060044,NA,Cluster 4  |  n = 1111,t1
20060504060055,NA,Cluster 4  |  n = 1111,t1
20060504060065,NA,Cluster 1  |  n = 1650,t1
20060504060070,NA,Cluster 1  |  n = 1650,t1
20060504060080,NA,Cluster 4  |  n = 1111,t1
20060504060081,NA,Cluster 2  |  n = 446,t1
20060504060100,NA,Cluster 4  |  n = 1111,t1
20060504060101,NA,Cluster 2  |  n = 446,t1
20060504060111,NA,Cluster 2  |  n = 446,t1
20060504060503,NA,Cluster 4  |  n = 1111,t1
20060504060520,NA,Cluster 4  |  n = 1111,t1
20060504060521,NA,Cluster 2  |  n = 446,t1
20060504060527,NA,Cluster 4  |  n = 1111,t1
20060504060530,NA,Cluster 4  |  n = 1111,t1
20060504060532,NA,Cluster 2  |  n = 446,t1
20060504060538,NA,Cluster 1  |  n = 1650,t1
20060504060543,NA,Cluster 4  |  n = 1111,t1
20060504060554,NA,Cluster 1  |  n = 1650,t1
20060504060555,NA,Cluster 4  |  n = 1111,t1
20060504060556,NA,Cluster 4  |  n = 1111,t1
20060504060559,NA,Cluster 1  |  n = 1650,t1
20060504060567,NA,Cluster 1  |  n = 1650,t1
20060504060575,NA,Cluster 1  |  n = 1650,t1
20060504060577,NA,Cluster 4  |  n = 1111,t1
20060504060581,NA,Cluster 1  |  n = 1650,t1
20060504060582,NA,Cluster 4  |  n = 1111,t1
20060504060589,NA,Cluster 4  |  n = 1111,t1
20060504060593,NA,Cluster 1  |  n = 1650,t1
20060504060596,NA,Cluster 1  |  n = 1650,t1
20060504060597,NA,Cluster 1  |  n = 1650,t1
20060504060605,NA,Cluster 1  |  n = 1650,t1
20060504060612,NA,Cluster 1  |  n = 1650,t1
20060504060616,NA,Cluster 1  |  n = 1650,t1
20060504060626,NA,Cluster 4  |  n = 1111,t1
20060504060661,NA,Cluster 1  |  n = 1650,t1
