ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,labor_force_status,treatment,pair_id
20090502090678,2009,22,male,white,60000,FALSE,Some college,TRUE,2,6,Midwest,"NA",TRUE,metropolitan,unemployed - on layoff,TRUE,NA
20090502090798,2009,59,female,black,15000,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,employed - at work,TRUE,NA
20090502091348,2009,36,female,black,25000,FALSE,Some college,TRUE,2,10,Midwest,"NA",FALSE,metropolitan,employed - at work,TRUE,NA
20090502091712,2009,61,female,white,150000,TRUE,Bachelors,TRUE,2,8,Midwest,not employed,FALSE,metropolitan,not in labor force,TRUE,NA
20090503090019,2009,41,female,white,75000,TRUE,Bachelors,TRUE,4,0,Northeast,employed,FALSE,metropolitan,employed - at work,TRUE,NA
20090503090063,2009,29,female,black,30000,FALSE,Some college,TRUE,1,9,South,"NA",FALSE,non-metropolitan,employed - at work,TRUE,NA
20090503090119,2009,42,male,white,40000,TRUE,Some college,TRUE,1,16,West,employed,FALSE,metropolitan,employed - absent,TRUE,NA
20090503090135,2009,85,male,white,7500,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",FALSE,metropolitan,not in labor force,TRUE,NA
20090503090501,2009,25,male,white,150000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,metropolitan,employed - at work,TRUE,NA
20090503090508,2009,17,female,white,30000,FALSE,Did not graduate from HS,TRUE,2,14,Northeast,"NA",TRUE,metropolitan,not in labor force,TRUE,NA
20090503090551,2009,29,female,white,20000,FALSE,Did not graduate from HS,TRUE,2,5,West,"NA",FALSE,metropolitan,not in labor force,TRUE,NA
20090503090555,2009,18,male,white,75000,FALSE,Did not graduate from HS,FALSE,0,0,South,"NA",TRUE,metropolitan,unemployed - looking,TRUE,NA
20090503090572,2009,43,male,white,40000,FALSE,Some college,TRUE,2,12,South,"NA",FALSE,metropolitan,employed - at work,TRUE,NA
20090503090686,2009,44,male,asian,100000,TRUE,Bachelors,TRUE,2,11,West,employed,FALSE,metropolitan,employed - at work,TRUE,NA
20090503090700,2009,61,male,white,75000,TRUE,HS,TRUE,1,6,West,not employed,FALSE,metropolitan,employed - at work,TRUE,NA
20090503090848,2009,20,female,white,60000,FALSE,Some college,FALSE,0,0,Northeast,"NA",TRUE,metropolitan,employed - at work,TRUE,NA
20090503090925,2009,50,male,black,20000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,employed - at work,TRUE,NA
20090503090943,2009,16,male,white,20000,FALSE,Did not graduate from HS,TRUE,3,9,South,"NA",TRUE,metropolitan,not in labor force,TRUE,NA
20090503090997,2009,38,female,white,60000,TRUE,Some college,TRUE,1,14,Midwest,employed,FALSE,metropolitan,not in labor force,TRUE,NA
20090503091058,2009,30,male,white,30000,TRUE,HS,TRUE,2,0,West,not employed,FALSE,metropolitan,employed - at work,TRUE,NA
20090503091075,2009,25,female,black,25000,FALSE,HS,FALSE,0,0,Midwest,"NA",TRUE,non-metropolitan,not in labor force,TRUE,NA
20090503091173,2009,38,female,white,75000,TRUE,Some college,TRUE,4,6,South,employed,FALSE,metropolitan,not in labor force,TRUE,NA
20090503091267,2009,47,female,white,0,FALSE,Bachelors,TRUE,3,4,Northeast,"NA",FALSE,metropolitan,employed - at work,TRUE,NA
