ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20160502161042,2016,85,female,white,35000,FALSE,Some college,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,NA
20160502161067,2016,54,female,asian,75000,TRUE,HS,FALSE,0,0,West,employed,FALSE,metropolitan,TRUE,NA
20160503160547,2016,24,male,white,100000,TRUE,HS,TRUE,3,5,West,employed,FALSE,metropolitan,TRUE,NA
20160503160582,2016,72,male,white,12500,TRUE,Bachelors,FALSE,0,0,South,not employed,FALSE,metropolitan,TRUE,NA
20160503160657,2016,40,female,white,60000,TRUE,Some college,TRUE,2,6,Northeast,employed,FALSE,metropolitan,TRUE,NA
20160503160700,2016,19,male,black,60000,FALSE,HS,FALSE,0,0,South,"NA",TRUE,metropolitan,TRUE,NA
20160503160724,2016,70,male,white,25000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,non-metropolitan,TRUE,NA
20160503160775,2016,67,male,white,40000,TRUE,Some college,FALSE,0,0,South,not employed,FALSE,metropolitan,TRUE,NA
20160503160847,2016,53,female,black,60000,FALSE,HS,FALSE,0,0,Midwest,"NA",TRUE,metropolitan,TRUE,NA
20160503160864,2016,80,female,white,100000,TRUE,HS,FALSE,0,0,West,not employed,FALSE,metropolitan,TRUE,NA
20160503160881,2016,52,male,black,40000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,NA
20160503160924,2016,47,female,white,75000,TRUE,Bachelors,TRUE,1,7,Northeast,employed,FALSE,metropolitan,TRUE,NA
20160503160941,2016,64,male,black,35000,FALSE,Masters,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,NA
20160503160972,2016,30,female,white,35000,TRUE,HS,TRUE,1,6,West,employed,TRUE,metropolitan,TRUE,NA
20160503161020,2016,17,female,white,15000,FALSE,Did not graduate from HS,TRUE,1,17,West,"NA",TRUE,metropolitan,TRUE,NA
20160503161045,2016,44,male,white,100000,TRUE,Some college,TRUE,3,7,South,employed,FALSE,metropolitan,TRUE,NA
20160503161046,2016,39,male,white,150000,TRUE,HS,TRUE,1,1,West,employed,FALSE,metropolitan,TRUE,NA
20160503161149,2016,28,female,white,30000,FALSE,Bachelors,FALSE,0,0,West,"NA",TRUE,metropolitan,TRUE,NA
20160503161161,2016,18,female,white,25000,FALSE,Did not graduate from HS,TRUE,1,14,Midwest,"NA",TRUE,metropolitan,TRUE,NA
