ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20130502130993,2013,80,female,white,150000,FALSE,HS,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,TRUE,1
20130502132202,2013,21,female,white,0,FALSE,HS,TRUE,4,4,South,"NA",TRUE,non-metropolitan,TRUE,2
20130502132457,2013,61,male,white,60000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan,TRUE,3
20130503130047,2013,59,male,white,30000,TRUE,Did not graduate from HS,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,4
20130503130528,2013,80,male,white,60000,TRUE,HS,FALSE,0,0,South,employed,FALSE,non-metropolitan,TRUE,5
20130503130533,2013,15,male,white,75000,FALSE,Did not graduate from HS,TRUE,3,6,Midwest,"NA",TRUE,metropolitan,TRUE,6
20130503130594,2013,57,female,black,25000,FALSE,Did not graduate from HS,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,7
20130503130634,2013,55,male,white,150000,TRUE,Some college,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,8
20130503130641,2013,22,female,white,35000,TRUE,HS,TRUE,1,0,South,employed,TRUE,metropolitan,TRUE,9
20130503130656,2013,56,female,white,50000,TRUE,Bachelors,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,10
20130503130754,2013,49,female,black,150000,TRUE,HS,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,11
20130503130763,2013,57,female,white,60000,FALSE,HS,TRUE,1,8,West,"NA",FALSE,metropolitan,TRUE,12
20130503130821,2013,48,female,white,40000,TRUE,Bachelors,FALSE,0,0,Northeast,not employed,FALSE,metropolitan,TRUE,13
20130503130847,2013,39,female,white,60000,TRUE,Masters,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,14
20130503130861,2013,52,male,white,15000,TRUE,HS,FALSE,0,0,Midwest,employed,FALSE,metropolitan,TRUE,15
20130503130879,2013,43,male,white,10000,TRUE,Some college,FALSE,0,0,South,employed,FALSE,metropolitan,TRUE,16
20130503130916,2013,59,male,white,60000,TRUE,Some college,FALSE,0,0,Midwest,employed,FALSE,non-metropolitan,TRUE,17
20130503130945,2013,38,female,black,50000,FALSE,Masters,FALSE,0,0,Northeast,"NA",FALSE,metropolitan,TRUE,18
20130503130951,2013,47,female,white,20000,TRUE,Some college,TRUE,1,13,South,employed,FALSE,non-metropolitan,TRUE,19
20130503131024,2013,48,male,white,100000,TRUE,Bachelors,TRUE,3,9,South,employed,FALSE,metropolitan,TRUE,20
20130503131025,2013,38,female,white,60000,TRUE,Masters,TRUE,2,3,South,employed,FALSE,metropolitan,TRUE,21
20130503131059,2013,51,female,black,10000,FALSE,Did not graduate from HS,FALSE,0,0,Midwest,"NA",FALSE,non-metropolitan,TRUE,22
20130503131066,2013,36,male,white,75000,TRUE,Bachelors,TRUE,5,6,South,not employed,FALSE,metropolitan,TRUE,23
20130503131187,2013,41,female,white,25000,FALSE,Bachelors,FALSE,0,0,Midwest,"NA",FALSE,metropolitan,TRUE,24
20130503131235,2013,52,female,black,0,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,25
20130503131316,2013,65,female,white,15000,FALSE,Some college,FALSE,0,0,West,"NA",FALSE,non-metropolitan,TRUE,26
20130503131340,2013,48,female,white,30000,TRUE,Did not graduate from HS,TRUE,2,4,South,employed,FALSE,metropolitan,TRUE,27
20130503131457,2013,52,male,white,75000,TRUE,Bachelors,TRUE,2,11,South,employed,FALSE,metropolitan,TRUE,28
20130503131501,2013,29,male,black,12500,TRUE,HS,TRUE,7,1,South,employed,FALSE,metropolitan,TRUE,29
20130503131547,2013,51,male,black,20000,TRUE,HS,FALSE,0,0,South,not employed,FALSE,non-metropolitan,TRUE,30
20130503131694,2013,31,female,white,60000,TRUE,Some college,TRUE,4,5,South,employed,FALSE,non-metropolitan,TRUE,31
20130503131790,2013,18,male,white,150000,FALSE,Did not graduate from HS,TRUE,1,12,West,"NA",TRUE,metropolitan,TRUE,32
20130503131801,2013,80,male,asian,60000,TRUE,Some college,FALSE,0,0,West,not employed,FALSE,metropolitan,TRUE,33
20130503131824,2013,42,female,white,40000,FALSE,Some college,TRUE,1,11,Northeast,"NA",FALSE,metropolitan,TRUE,34
20130503131862,2013,32,male,white,60000,TRUE,Bachelors,TRUE,2,2,South,employed,FALSE,non-metropolitan,TRUE,35
20130503132055,2013,45,male,white,100000,TRUE,Bachelors,TRUE,1,5,Northeast,employed,FALSE,metropolitan,TRUE,36
20130503132155,2013,63,female,white,15000,FALSE,HS,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,37
20130503132169,2013,47,female,white,100000,TRUE,Bachelors,TRUE,3,11,West,employed,TRUE,metropolitan,TRUE,38
20130503132177,2013,63,female,white,40000,FALSE,Bachelors,FALSE,0,0,South,"NA",FALSE,metropolitan,TRUE,39
20130503132209,2013,42,male,white,35000,TRUE,Did not graduate from HS,TRUE,2,4,West,employed,FALSE,metropolitan,TRUE,40
20130503132249,2013,48,female,white,150000,TRUE,Bachelors,TRUE,3,10,Midwest,employed,FALSE,metropolitan,TRUE,41
20130503132312,2013,54,female,white,50000,TRUE,Some college,TRUE,1,6,Midwest,employed,FALSE,metropolitan,TRUE,42
20130503132318,2013,49,male,asian,150000,TRUE,Masters,TRUE,1,13,Northeast,employed,FALSE,metropolitan,TRUE,43
