ID,year,age,sex,race,fam_income,has_partner,education,child_in_HH,n_child,age_youngest,region,partner_working,elder_in_HH,metropolitan
20140502140884,2014,50,male,white,150000,TRUE,Some college,TRUE,1,14,South,employed,FALSE,metropolitan
20140502141946,2014,50,female,white,50000,TRUE,Some college,TRUE,1,3,South,employed,FALSE,non-metropolitan
20140503140572,2014,46,male,white,150000,FALSE,Masters,FALSE,0,0,Northeast,"NA",FALSE,metropolitan
20140503140706,2014,57,male,black,12500,TRUE,Some college,TRUE,1,7,South,not employed,FALSE,metropolitan
20140503140854,2014,42,female,white,0,FALSE,Bachelors,TRUE,3,1,Northeast,"NA",FALSE,metropolitan
20140503140984,2014,40,male,white,100000,TRUE,Bachelors,TRUE,2,10,Midwest,employed,FALSE,metropolitan
20140503141041,2014,60,female,white,7500,FALSE,Bachelors,FALSE,0,0,Midwest,"NA",FALSE,metropolitan
20140503141238,2014,35,male,white,100000,FALSE,Bachelors,TRUE,1,7,West,"NA",FALSE,metropolitan
20140503141297,2014,34,female,white,35000,FALSE,Bachelors,FALSE,0,0,West,"NA",FALSE,metropolitan
20140503141317,2014,60,female,white,60000,TRUE,Some college,FALSE,0,0,West,employed,FALSE,metropolitan
20140503141408,2014,47,female,black,15000,TRUE,Masters,TRUE,2,8,West,employed,TRUE,metropolitan
20140503141451,2014,42,female,white,60000,TRUE,Bachelors,TRUE,2,4,South,employed,FALSE,metropolitan
20140503141694,2014,66,male,white,25000,TRUE,Doctoral,FALSE,0,0,Northeast,not employed,FALSE,metropolitan
20140503141727,2014,53,female,asian,100000,TRUE,Masters,FALSE,0,0,West,employed,FALSE,metropolitan
20140503141770,2014,24,male,white,25000,TRUE,HS,TRUE,1,0,Midwest,not employed,FALSE,metropolitan
20140503141795,2014,21,female,other,30000,TRUE,Some college,TRUE,2,8,West,not employed,FALSE,metropolitan
20140503141818,2014,52,female,white,30000,FALSE,HS,TRUE,2,11,South,"NA",FALSE,metropolitan
20140503141843,2014,48,female,black,150000,FALSE,Bachelors,TRUE,1,15,Northeast,"NA",FALSE,metropolitan
20140503141982,2014,44,male,white,35000,FALSE,Bachelors,FALSE,0,0,Midwest,"NA",FALSE,non-metropolitan
20140503142251,2014,71,male,white,60000,FALSE,Some college,TRUE,1,9,South,"NA",FALSE,non-metropolitan
20140503142307,2014,51,female,black,35000,TRUE,HS,FALSE,0,0,Midwest,not employed,FALSE,metropolitan
20140503142405,2014,46,male,white,35000,TRUE,HS,FALSE,0,0,South,employed,FALSE,metropolitan
20140503142430,2014,40,female,white,100000,TRUE,Bachelors,TRUE,2,8,West,employed,FALSE,metropolitan
20140503142448,2014,24,female,white,150000,FALSE,Bachelors,FALSE,0,0,Northeast,"NA",TRUE,metropolitan
20140503142461,2014,39,male,white,100000,TRUE,Bachelors,TRUE,1,15,Midwest,employed,FALSE,non-metropolitan
